Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,37,28.8,5.71,34,74,.315,5.36,108,108,106,2,3,2,14,941.0,1010,617,560,157,361,29,845,58,7,30,4196,79,4.87,1.457,9.7,1.5,3.5,8.1,2.34,756
Atlanta Braves,28,29.5,4.25,53,54,.495,4.05,107,107,107,0,12,0,22,927.0,851,455,417,119,353,16,940,44,6,51,3962,112,4.09,1.299,8.3,1.2,3.4,9.1,2.66,726
Baltimore Orioles,31,28.3,5.50,38,68,.358,5.47,106,106,105,1,3,1,18,916.1,967,583,557,152,370,5,865,47,6,55,4068,82,4.79,1.459,9.5,1.5,3.6,8.5,2.34,736
Boston Red Sox,26,29.8,4.50,63,45,.583,4.20,108,108,108,0,4,0,34,947.1,940,486,442,114,364,12,1002,52,3,38,4091,111,3.93,1.376,8.9,1.1,3.5,9.5,2.75,763
Chicago Cubs,33,30.1,4.58,51,57,.472,4.27,108,108,107,1,5,0,28,945.1,866,495,449,143,409,16,934,65,3,38,4111,95,4.66,1.349,8.2,1.4,3.9,8.9,2.28,780
Chicago White Sox,24,28.2,3.85,63,44,.589,3.61,107,107,103,4,9,3,29,922.1,783,412,370,124,314,10,1054,33,4,55,3850,120,3.75,1.189,7.6,1.2,3.1,10.3,3.36,671
Cincinnati Reds,32,29.0,4.93,56,51,.523,4.53,107,107,106,1,5,1,29,955.0,885,527,481,143,443,24,1024,47,6,42,4174,106,4.50,1.391,8.3,1.3,4.2,9.7,2.31,782
Cleveland Indians,21,26.1,4.62,52,52,.500,4.50,104,104,104,0,5,0,28,901.1,821,480,451,143,360,6,947,39,5,38,3856,102,4.45,1.310,8.2,1.4,3.6,9.5,2.63,672
Colorado Rockies,23,28.3,4.88,47,60,.439,4.70,107,107,104,3,4,1,19,922.0,897,522,482,130,363,11,836,43,3,40,3979,100,4.50,1.367,8.8,1.3,3.5,8.2,2.30,691
Detroit Tigers,27,27.4,4.85,52,57,.477,4.55,109,109,107,2,5,1,25,945.0,900,529,478,140,378,6,857,62,2,60,4100,93,4.67,1.352,8.6,1.3,3.6,8.2,2.27,736
Houston Astros,28,28.7,4.03,65,42,.607,3.70,107,107,105,2,4,0,24,952.0,797,431,391,128,359,7,977,44,1,50,3987,115,4.13,1.214,7.5,1.2,3.4,9.2,2.72,700
Kansas City Royals,24,28.4,5.02,45,60,.429,4.98,105,105,105,0,5,0,23,908.0,892,527,502,130,404,11,895,40,8,59,3968,92,4.52,1.427,8.8,1.3,4.0,8.9,2.22,717
Los Angeles Angels,29,29.4,5.05,53,54,.495,4.75,107,107,107,0,2,0,26,940.2,882,540,496,130,406,10,1005,48,7,45,4095,98,4.27,1.369,8.4,1.2,3.9,9.6,2.48,733
Los Angeles Dodgers,29,28.7,3.69,64,44,.593,3.18,108,108,107,1,11,0,31,959.1,754,398,339,117,331,25,1069,42,3,33,3953,122,3.68,1.131,7.1,1.1,3.1,10.0,3.23,677
Miami Marlins,29,27.5,3.91,46,61,.430,3.52,107,107,106,1,6,0,20,939.0,797,418,367,94,339,25,916,58,1,38,3930,117,3.78,1.210,7.6,0.9,3.2,8.8,2.70,695
Milwaukee Brewers,33,28.2,3.71,64,44,.593,3.34,108,108,107,1,12,0,27,964.0,753,401,358,107,371,12,1078,56,6,48,4010,126,3.70,1.166,7.0,1.0,3.5,10.1,2.91,717
Minnesota Twins,27,30.4,5.33,45,62,.421,4.99,107,107,106,1,3,0,25,933.0,934,570,517,157,316,9,880,37,1,32,4010,84,4.60,1.340,9.0,1.5,3.0,8.5,2.78,641
New York Mets,35,28.9,3.92,55,51,.519,3.68,106,106,105,1,8,1,30,895.1,778,415,366,115,314,16,961,44,0,40,3745,108,3.87,1.220,7.8,1.2,3.2,9.7,3.06,644
New York Yankees,28,29.6,4.08,57,49,.538,3.77,106,106,103,3,10,2,28,935.2,786,433,392,120,313,5,1006,38,4,59,3881,116,3.80,1.175,7.6,1.2,3.0,9.7,3.21,641
Oakland Athletics,24,30.2,3.94,60,48,.556,3.70,108,108,105,3,10,3,26,956.2,876,425,393,115,288,10,909,39,2,52,4006,111,3.85,1.217,8.2,1.1,2.7,8.6,3.16,711
Philadelphia Phillies,28,28.8,4.74,54,53,.505,4.49,107,107,104,3,7,2,24,932.1,896,507,465,138,333,25,964,48,2,30,4004,90,4.24,1.318,8.6,1.3,3.2,9.3,2.89,700
Pittsburgh Pirates,30,27.8,5.09,41,66,.383,5.04,107,107,107,0,4,0,15,922.1,896,545,516,133,398,9,871,51,3,39,4032,84,4.61,1.403,8.7,1.3,3.9,8.5,2.19,720
San Diego Padres,27,29.5,3.88,62,47,.569,3.53,109,109,108,1,8,1,36,964.2,835,423,378,125,340,19,1035,62,1,34,4059,108,3.95,1.218,7.8,1.2,3.2,9.7,3.04,742
Seattle Mariners,35,27.7,4.70,58,50,.537,4.48,108,108,108,0,7,0,30,948.2,897,508,472,128,335,9,889,48,1,43,4033,93,4.25,1.299,8.5,1.2,3.2,8.4,2.65,679
San Francisco Giants,30,29.8,3.76,67,40,.626,3.39,107,107,105,2,12,2,38,951.2,792,402,358,110,284,11,929,42,4,29,3918,122,3.74,1.131,7.5,1.0,2.7,8.8,3.27,661
St. Louis Cardinals,29,29.1,4.39,53,53,.500,4.21,106,106,104,2,9,0,29,923.1,808,465,432,95,445,23,817,75,4,56,4024,91,4.41,1.357,7.9,0.9,4.3,8.0,1.84,789
Tampa Bay Rays,30,29.1,3.99,64,44,.593,3.55,108,108,107,1,8,0,28,973.0,817,431,384,120,302,17,1022,37,4,46,3985,112,3.71,1.150,7.6,1.1,2.8,9.5,3.38,635
Texas Rangers,26,28.4,4.96,39,68,.364,4.73,107,107,107,0,2,0,19,939.0,931,531,493,150,335,10,843,35,0,45,4028,95,4.62,1.348,8.9,1.4,3.2,8.1,2.52,680
Toronto Blue Jays,36,29.3,4.12,55,49,.529,3.90,104,104,103,1,8,1,18,900.2,806,428,390,138,316,8,947,43,2,31,3809,115,4.25,1.246,8.1,1.4,3.2,9.5,3.00,679
Washington Nationals,27,31.0,4.66,49,58,.458,4.42,107,107,106,1,7,0,25,918.0,848,499,451,150,339,31,892,42,0,18,3922,87,4.59,1.293,8.3,1.5,3.3,8.7,2.63,669
